,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,UNH,V,XOM,^GSPC
AAPL,1.0,0.5402903530674182,0.4897071597613107,0.08551513089513435,0.52744065597334,0.10388590005989057,0.38955648971169266,-0.026680313296495797,0.5059177468702931,0.35239154758833763,0.7594445420781379
AMZN,0.5402903530674182,1.0,0.4014652921462135,-0.16605228469327848,0.49815228709260434,-0.14703955327399823,0.5110158780046974,0.037595273304216185,0.39185171940406366,0.2018710709757362,0.7144364443893422
CAT,0.4897071597613107,0.4014652921462135,1.0,0.04398103690778253,0.5372967041068069,-0.10294196927541184,0.2868305213058378,0.003611753229236127,0.34901347171849423,0.33456289951561774,0.6850042510111837
JNJ,0.08551513089513435,-0.16605228469327848,0.04398103690778253,1.0,0.026445120002575307,0.3569613986010265,-0.12141808065537128,0.07110763785010592,0.21359042827036953,0.13870395595710389,0.06297948538556469
JPM,0.52744065597334,0.49815228709260434,0.5372967041068069,0.026445120002575307,1.0,0.02620280761992899,0.4211829811058707,0.07058410911281869,0.5848081907390041,0.30719523651588365,0.7437726804434336
KO,0.10388590005989057,-0.14703955327399823,-0.10294196927541184,0.3569613986010265,0.02620280761992899,1.0,-0.12198171922351558,-0.022698673036710627,0.2182061376403106,0.17646309980519118,0.059892170388701
MSFT,0.38955648971169266,0.5110158780046974,0.2868305213058378,-0.12141808065537128,0.4211829811058707,-0.12198171922351558,1.0,0.02322642326103896,0.33072121824362233,0.08272217450861286,0.6262183809730334
UNH,-0.026680313296495797,0.037595273304216185,0.003611753229236127,0.07110763785010592,0.07058410911281869,-0.022698673036710627,0.02322642326103896,1.0,0.18947718184974008,-0.04573671649019461,0.09523042667550922
V,0.5059177468702931,0.39185171940406366,0.34901347171849423,0.21359042827036953,0.5848081907390041,0.2182061376403106,0.33072121824362233,0.18947718184974008,1.0,0.2035325245341964,0.6265625088089138
XOM,0.35239154758833763,0.2018710709757362,0.33456289951561774,0.13870395595710389,0.30719523651588365,0.17646309980519118,0.08272217450861286,-0.04573671649019461,0.2035325245341964,1.0,0.37534605628014733
^GSPC,0.7594445420781379,0.7144364443893422,0.6850042510111837,0.06297948538556469,0.7437726804434336,0.059892170388701,0.6262183809730334,0.09523042667550922,0.6265625088089138,0.37534605628014733,1.0
